ride_id,ride_name,ride_type,min_height_cm,thrill_level,capacity_per_hour,zone,is_haunted,opened_date,status,avg_wait_minutes
R074,Hydra Reef,dark_ride,0,medium,948,Horror Quarter,false,2018-11-21,maintenance,0
R075,Kraken Shore,drop_tower,100,high,395,Splash Valley,false,2023-05-11,closed,0
R076,Cyclops Beach,water_ride,90,extreme,988,Family Land,false,2011-12-18,active,19
R077,Griffin Island,carousel,0,low,503,Kids Corner,false,2008-04-22,active,6
R078,Minotaur Haven,kiddie_ride,0,medium,347,Main Street,false,2010-06-29,active,35
R079,Chimera Harbor,roller_coaster,120,high,1086,Adventure Zone,false,2006-08-20,maintenance,0
R080,Sphinx Port,dark_ride,0,extreme,766,Horror Quarter,false,2014-04-19,closed,0
R081,Alpha Storm,drop_tower,130,low,889,Splash Valley,false,2009-05-12,active,50
R082,Beta Thunder,water_ride,130,medium,693,Family Land,false,2016-02-02,active,30
R083,Gamma Lightning,carousel,0,high,549,Kids Corner,false,2008-04-23,active,46
R084,Delta Bolt,kiddie_ride,0,extreme,1004,Main Street,false,2005-02-15,maintenance,0
R085,Omega Shock,roller_coaster,80,low,1097,Adventure Zone,false,2014-07-15,closed,0
R086,Sigma Spark,dark_ride,0,medium,524,Horror Quarter,false,2008-12-11,active,56
R087,Lambda Flash,drop_tower,130,high,830,Splash Valley,false,2015-06-03,active,8
R088,Zeta Flare,water_ride,120,extreme,555,Family Land,false,2007-09-22,active,34
R089,Theta Blaze,carousel,0,low,436,Kids Corner,false,2022-12-23,maintenance,0
R090,Kappa Flame,kiddie_ride,0,medium,775,Main Street,false,2019-12-22,closed,0
R091,Inferno Echo,roller_coaster,120,high,872,Adventure Zone,false,2018-05-10,active,25
R092,Glacier Vortex,dark_ride,0,extreme,1073,Horror Quarter,false,2014-12-05,active,44
R093,Avalanche Spiral,drop_tower,130,low,816,Splash Valley,false,2014-07-28,active,58
R094,Tsunami Helix,water_ride,120,medium,756,Family Land,false,2008-07-27,maintenance,0
R095,Tornado Orbit,carousel,0,high,1061,Kids Corner,false,2015-08-25,closed,0
R096,Cyclone Nova,kiddie_ride,0,extreme,760,Main Street,false,2010-10-25,active,53
R097,Hurricane Comet,roller_coaster,90,low,952,Adventure Zone,false,2011-03-22,active,54
R098,Blizzard Meteor,dark_ride,0,medium,1096,Horror Quarter,false,2016-09-10,active,36
R099,Tempest Asteroid,drop_tower,130,high,544,Splash Valley,false,2011-02-28,maintenance,0
R100,Volcano Galaxy,water_ride,110,extreme,379,Family Land,false,2021-01-02,closed,0
