transaction_id,customer_id,visit_date,category,item_name,quantity,unit_price,total_amount,payment_method,location
S065,C065,2024-04-14,food,Nachos,4,9.99,39.96,credit_card,Horror Merch Den
S066,C066,2024-04-16,merchandise,Cap,4,17.99,71.96,cash,Pizza Palace
S067,C067,2024-06-24,game,Whack-a-Mole,1,3.5,3.5,kiosk,Arcade Hall
S068,C068,2023-09-13,photo,Photo Keyring,3,14.99,44.97,mobile,Chill Zone
S069,C069,2024-03-08,food,Cotton Candy,2,3.99,7.98,credit_card,Photo Studio
S070,C070,2024-09-17,merchandise,Park T-Shirt,3,24.99,74.97,cash,Main Street Grill
S071,C071,2024-01-11,game,Duck Pond,4,4.0,16.0,kiosk,Souvenir Shop East
S072,C072,2023-08-02,photo,Green Screen Portrait,1,29.99,29.99,mobile,Midway Games
S073,C073,2024-04-18,food,Funnel Cake,2,14.99,29.98,credit_card,Thunder Dragon Photo Booth
S074,C074,2024-05-29,merchandise,Snow Globe,2,19.99,39.98,cash,Splash Valley Snacks
S075,C075,2023-11-07,game,Coin Flip,1,3.0,3.0,kiosk,Souvenir Shop West
S076,C076,2024-03-09,photo,Annual Pass Photo Card,4,19.99,79.96,mobile,Kids Corner Games
S077,C077,2023-07-18,food,Chicken Tenders,2,11.99,23.98,credit_card,Guest Services Kiosk
S078,C078,2024-08-04,merchandise,Water Bottle,1,22.99,22.99,cash,Sweet Treats Stand
S079,C079,2024-01-23,game,Fishing Game,1,2.5,2.5,kiosk,Horror Merch Den
S080,C080,2024-04-27,photo,Ride Photo Package,2,39.99,79.98,mobile,Pizza Palace
S081,C081,2024-02-11,food,Hot Dog & Drink,3,8.99,26.97,credit_card,Arcade Hall
S082,C082,2024-02-16,merchandise,Horror Quarter Hoodie,3,49.99,149.97,cash,Chill Zone
S083,C083,2023-12-30,game,Skee-Ball Credits,4,2.0,8.0,kiosk,Photo Studio
S084,C084,2024-01-28,photo,Digital Download,2,9.99,19.98,mobile,Main Street Grill
S085,C085,2024-01-20,food,Nachos,2,9.99,19.98,credit_card,Souvenir Shop East
S086,C086,2023-12-14,merchandise,Cap,2,17.99,35.98,cash,Midway Games
S087,C087,2024-09-14,game,Whack-a-Mole,2,3.5,7.0,kiosk,Thunder Dragon Photo Booth
S088,C088,2024-08-16,photo,Photo Keyring,1,14.99,14.99,mobile,Splash Valley Snacks
S089,C089,2023-10-20,food,Cotton Candy,4,3.99,15.96,credit_card,Souvenir Shop West
S090,C090,2023-11-22,merchandise,Park T-Shirt,3,24.99,74.97,cash,Kids Corner Games
S091,C091,2024-07-25,game,Duck Pond,1,4.0,4.0,kiosk,Guest Services Kiosk
S092,C092,2023-10-23,photo,Green Screen Portrait,3,29.99,89.97,mobile,Sweet Treats Stand
S093,C093,2024-08-02,food,Funnel Cake,4,14.99,59.96,credit_card,Horror Merch Den
S094,C094,2024-08-17,merchandise,Snow Globe,2,19.99,39.98,cash,Pizza Palace
S095,C095,2024-01-15,game,Coin Flip,4,3.0,12.0,kiosk,Arcade Hall
S096,C096,2023-11-24,photo,Annual Pass Photo Card,3,19.99,59.97,mobile,Chill Zone
S097,C097,2024-03-09,food,Chicken Tenders,4,11.99,47.96,credit_card,Photo Studio
S098,C098,2024-01-20,merchandise,Water Bottle,3,22.99,68.97,cash,Main Street Grill
S099,C099,2024-08-19,game,Fishing Game,2,2.5,5.0,kiosk,Souvenir Shop East
S100,C100,2024-05-23,photo,Ride Photo Package,2,39.99,79.98,mobile,Midway Games
